category,ro,en,concept_id
time,devreme,early,time_014
time,târziu,late,time_015
time,înainte,before,time_016
time,după,after,time_017
time,repede,fast,time_018
time,lent,slow,time_019
time,final,end,time_020
actions,pornește,start,act_001
actions,oprește,stop,act_002
actions,rulează,run,act_003
actions,testează,test,act_004
actions,repară,fix,act_005
actions,analizează,analyze,act_006
actions,compară,compare,act_007
actions,alege,choose,act_008
actions,redu,reduce,act_009
actions,scurtează,shorten,act_010
actions,păstrează,preserve,act_011
actions,schimbă,change,act_012
actions,mută,move,act_013
actions,copiază,copy,act_014
actions,lipește,paste,act_015
actions,caută,search,act_016
actions,găsește,find,act_017
actions,deschide,open,act_018
actions,închide,close,act_019
actions,actualizează,update,act_020
actions,îmbină,merge,act_021
actions,împarte,split,act_022
actions,sortează,sort,act_023
actions,filtrează,filter,act_024
actions,măsoară,measure,act_025
software/project terms,agent,agent,sw_001
software/project terms,protocol,protocol,sw_002
software/project terms,stare,state,sw_003
software/project terms,rundă,round,sw_004
software/project terms,experiment,experiment,sw_005
software/project terms,vocabular,vocabulary,sw_006
software/project terms,sarcină,task,sw_007
software/project terms,prompt,prompt,sw_008
software/project terms,răspuns,response,sw_009
software/project terms,transcriere,transcript,sw_010
software/project terms,jurnal,log,sw_011
software/project terms,rezultat,result,sw_012
software/project terms,metrică,metric,sw_013
software/project terms,compresie,compression,sw_014
software/project terms,raport final,final report,sw_015
software/project terms,eroare,error,sw_016
software/project terms,eșec,failure,sw_017
software/project terms,simbol inventat,invented symbol,sw_018
software/project terms,simbol reutilizat,reused symbol,sw_019
software/project terms,derivă,drift,sw_020
software/project terms,noutate,novelty,sw_021
software/project terms,gramatică,grammar,sw_022
software/project terms,identificator,identifier,sw_023
software/project terms,cod scurt,short code,sw_024
software/project terms,semnificație,meaning,sw_025
software/project terms,decodor,decoder,sw_026
software/project terms,encoder,encoder,sw_027
software/project terms,arhitectură,architecture,sw_028
software/project terms,prototip,prototype,sw_029
software/project terms,configurație,configuration,sw_030
software/project terms,temperatură,temperature,sw_031
software/project terms,model local,local model,sw_032
