entry_id,category,ro,en,meaning,rank,source,notes
d2000_0219,connectors,precum,like,precum / like,219,curated_connector,
d2000_0220,connectors,nici,nor,nici / nor,220,curated_connector,
d2000_0221,connectors,totuși,still,totuși / still,221,curated_connector,
d2000_0222,connectors,apoi,next,apoi / next,222,curated_connector,
d2000_0223,connectors,întâi,first,întâi / first,223,curated_connector,
d2000_0224,connectors,în final,finally,în final / finally,224,curated_connector,
d2000_0225,connectors,de asemenea,also,de asemenea / also,225,curated_connector,
d2000_0226,connectors,mai ales,especially,mai ales / especially,226,curated_connector,
d2000_0227,connectors,în schimb,instead,în schimb / instead,227,curated_connector,
d2000_0228,connectors,chiar dacă,even if,chiar dacă / even if,228,curated_connector,
d2000_0229,connectors,numai dacă,only if,numai dacă / only if,229,curated_connector,
d2000_0230,negation,nu,no/not,nu / no/not,230,curated_negation,
d2000_0231,negation,niciodată,never,niciodată / never,231,curated_negation,
d2000_0232,negation,nimic,nothing,nimic / nothing,232,curated_negation,
d2000_0233,negation,niciunul,none,niciunul / none,233,curated_negation,
d2000_0234,negation,fără rezultat,no result,fără rezultat / no result,234,curated_negation,
d2000_0235,negation,nu pot,cannot,nu pot / cannot,235,curated_negation,
d2000_0236,negation,nu vreau,do not want,nu vreau / do not want,236,curated_negation,
d2000_0237,negation,nu am nevoie,do not need,nu am nevoie / do not need,237,curated_negation,
d2000_0238,negation,nu este,is not,nu este / is not,238,curated_negation,
d2000_0239,negation,nu există,does not exist,nu există / does not exist,239,curated_negation,
d2000_0240,negation,nu găsesc,do not find,nu găsesc / do not find,240,curated_negation,
d2000_0241,negation,nu funcționează,does not work,nu funcționează / does not work,241,curated_negation,
d2000_0242,negation,nu înțeleg,do not understand,nu înțeleg / do not understand,242,curated_negation,
d2000_0243,negation,nu știu,do not know,nu știu / do not know,243,curated_negation,
d2000_0244,negation,nu încă,not yet,nu încă / not yet,244,curated_negation,
d2000_0245,negation,nu acum,not now,nu acum / not now,245,curated_negation,
d2000_0246,negation,nu aici,not here,nu aici / not here,246,curated_negation,
d2000_0247,negation,nu acolo,not there,nu acolo / not there,247,curated_negation,
d2000_0248,negation,greșit,wrong,greșit / wrong,248,curated_negation,
d2000_0249,grammar_markers,subiect,subject,subiect / subject,249,curated_grammar,
d2000_0250,grammar_markers,obiect,object,obiect / object,250,curated_grammar,
d2000_0251,grammar_markers,verb,verb,verb / verb,251,curated_grammar,
d2000_0252,grammar_markers,nume,noun,nume / noun,252,curated_grammar,
d2000_0253,grammar_markers,adjectiv,adjective,adjectiv / adjective,253,curated_grammar,
d2000_0254,grammar_markers,adverb,adverb,adverb / adverb,254,curated_grammar,
d2000_0255,grammar_markers,plural,plural,plural / plural,255,curated_grammar,
d2000_0256,grammar_markers,singular,singular,singular / singular,256,curated_grammar,
d2000_0257,grammar_markers,trecut,past,trecut / past,257,curated_grammar,
d2000_0258,grammar_markers,prezent,present,prezent / present,258,curated_grammar,
d2000_0259,grammar_markers,viitor,future,viitor / future,259,curated_grammar,
d2000_0260,grammar_markers,condițional,conditional,condițional / conditional,260,curated_grammar,
d2000_0261,grammar_markers,imperativ,imperative,imperativ / imperative,261,curated_grammar,
d2000_0262,grammar_markers,întrebare,question,întrebare / question,262,curated_grammar,
d2000_0263,grammar_markers,răspuns,answer,răspuns / answer,263,curated_grammar,
d2000_0264,grammar_markers,negație,negation,negație / negation,264,curated_grammar,
d2000_0265,grammar_markers,afirmație,affirmation,afirmație / affirmation,265,curated_grammar,
d2000_0266,grammar_markers,pacient,patient,pacient / patient,266,curated_grammar,
d2000_0267,grammar_markers,loc,location,loc / location,267,curated_grammar,
d2000_0268,grammar_markers,timp,time,timp / time,268,curated_grammar,
d2000_0269,grammar_markers,cauză,cause,cauză / cause,269,curated_grammar,
d2000_0270,grammar_markers,scop,purpose,scop / purpose,270,curated_grammar,
d2000_0271,grammar_markers,mod,manner,mod / manner,271,curated_grammar,
d2000_0272,grammar_markers,cantitate,quantity,cantitate / quantity,272,curated_grammar,
d2000_0273,grammar_markers,calitate,quality,calitate / quality,273,curated_grammar,
d2000_0274,grammar_markers,definit,definite,definit / definite,274,curated_grammar,
d2000_0275,grammar_markers,nedefinit,indefinite,nedefinit / indefinite,275,curated_grammar,
d2000_0276,grammar_markers,comparativ,comparative,comparativ / comparative,276,curated_grammar,
d2000_0277,grammar_markers,superlativ,superlative,superlativ / superlative,277,curated_grammar,
d2000_0278,grammar_markers,posesiv,possessive,posesiv / possessive,278,curated_grammar,
d2000_0279,grammar_markers,reflexiv,reflexive,reflexiv / reflexive,279,curated_grammar,
d2000_0280,grammar_markers,reciproc,reciprocal,reciproc / reciprocal,280,curated_grammar,
d2000_0281,grammar_markers,listă,list,listă / list,281,curated_grammar,
d2000_0282,grammar_markers,grup,group,grup / group,282,curated_grammar,
d2000_0283,grammar_markers,relație,relation,relație / relation,283,curated_grammar,
d2000_0284,grammar_markers,atribut,attribute,atribut / attribute,284,curated_grammar,
d2000_0285,grammar_markers,valoare,value,valoare / value,285,curated_grammar,
d2000_0286,grammar_markers,cheie,key,cheie / key,286,curated_grammar,
d2000_0287,grammar_markers,cod,code,cod / code,287,curated_grammar,
d2000_0288,requests,ajută-mă,help me,ajută-mă / help me,288,curated_request,
d2000_0289,requests,poți să ajuți?,can you help?,poți să ajuți? / can you help?,289,curated_request,
d2000_0290,requests,am nevoie de ajutor,I need help,am nevoie de ajutor / I need help,290,curated_request,
d2000_0291,requests,arată-mi,show me,arată-mi / show me,291,curated_request,
d2000_0292,requests,spune-mi,tell me,spune-mi / tell me,292,curated_request,
d2000_0293,requests,explică-mi,explain to me,explică-mi / explain to me,293,curated_request,
d2000_0294,requests,trimite-mi,send me,trimite-mi / send me,294,curated_request,
d2000_0295,requests,dă-mi,give me,dă-mi / give me,295,curated_request,
d2000_0296,requests,caută pentru mine,search for me,caută pentru mine / search for me,296,curated_request,
d2000_0297,requests,verifică pentru mine,check for me,verifică pentru mine / check for me,297,curated_request,
d2000_0298,requests,fă asta,do this,fă asta / do this,298,curated_request,
d2000_0299,requests,continuă,continue,continuă / continue,299,curated_request,
d2000_0300,requests,începe,start,începe / start,300,curated_request,
d2000_0301,requests,repetă,repeat,repetă / repeat,301,curated_request,
d2000_0302,requests,scrie asta,write this,scrie asta / write this,302,curated_request,
d2000_0303,requests,citește asta,read this,citește asta / read this,303,curated_request,
d2000_0304,requests,salvează asta,save this,salvează asta / save this,304,curated_request,
d2000_0305,requests,deschide asta,open this,deschide asta / open this,305,curated_request,
d2000_0306,basic_conversation,ce faci?,how are you?,ce faci? / how are you?,306,curated_conversation,
d2000_0307,basic_conversation,cu plăcere,you are welcome,cu plăcere / you are welcome,307,curated_conversation,
d2000_0308,basic_conversation,nu-i nimic,it is okay,nu-i nimic / it is okay,308,curated_conversation,
d2000_0309,basic_conversation,da,yes,da / yes,309,curated_conversation,
d2000_0310,basic_conversation,nu,no,nu / no,310,curated_conversation,
d2000_0311,basic_conversation,poate,maybe,poate / maybe,311,curated_conversation,
d2000_0312,basic_conversation,sigur,sure,sigur / sure,312,curated_conversation,
d2000_0313,basic_conversation,bine,okay,bine / okay,313,curated_conversation,
d2000_0314,basic_conversation,gata,done,gata / done,314,curated_conversation,
d2000_0315,basic_conversation,înțeleg,I understand,înțeleg / I understand,315,curated_conversation,
d2000_0316,basic_conversation,nu înțeleg,I do not understand,nu înțeleg / I do not understand,316,curated_conversation,
d2000_0317,basic_conversation,mai spune,say more,mai spune / say more,317,curated_conversation,
d2000_0318,basic_conversation,mai scurt,shorter,mai scurt / shorter,318,curated_conversation,
d2000_0319,basic_conversation,mai clar,clearer,mai clar / clearer,319,curated_conversation,
d2000_0320,basic_conversation,foarte bine,very good,foarte bine / very good,320,curated_conversation,
d2000_0321,objects,lapte,milk,lapte / milk,321,curated_object,
d2000_0322,objects,ou,egg,ou / egg,322,curated_object,
d2000_0323,objects,carne,meat,carne / meat,323,curated_object,
d2000_0324,objects,fruct,fruit,fruct / fruit,324,curated_object,
d2000_0325,objects,legumă,vegetable,legumă / vegetable,325,curated_object,
d2000_0326,objects,măr,apple,măr / apple,326,curated_object,
d2000_0327,objects,banană,banana,banană / banana,327,curated_object,
d2000_0328,objects,orez,rice,orez / rice,328,curated_object,
d2000_0329,objects,supă,soup,supă / soup,329,curated_object,
d2000_0330,objects,sare,salt,sare / salt,330,curated_object,
d2000_0331,objects,zahăr,sugar,zahăr / sugar,331,curated_object,
d2000_0332,objects,farfurie,plate,farfurie / plate,332,curated_object,
d2000_0333,objects,pahar,glass,pahar / glass,333,curated_object,
d2000_0334,objects,sticlă,bottle,sticlă / bottle,334,curated_object,
d2000_0335,objects,ușă,door,ușă / door,335,curated_object,
d2000_0336,objects,fereastră,window,fereastră / window,336,curated_object,
d2000_0337,objects,pat,bed,pat / bed,337,curated_object,
d2000_0338,objects,lampă,lamp,lampă / lamp,338,curated_object,
d2000_0339,objects,geantă,bag,geantă / bag,339,curated_object,
d2000_0340,objects,hârtie,paper,hârtie / paper,340,curated_object,
d2000_0341,objects,stilou,pen,stilou / pen,341,curated_object,
d2000_0342,objects,creion,pencil,creion / pencil,342,curated_object,
d2000_0343,objects,mouse,mouse,mouse / mouse,343,curated_object,
d2000_0344,objects,cablu,cable,cablu / cable,344,curated_object,
d2000_0345,objects,baterie,battery,baterie / battery,345,curated_object,
d2000_0346,objects,mașină,car,mașină / car,346,curated_object,
d2000_0347,objects,autobuz,bus,autobuz / bus,347,curated_object,
d2000_0348,objects,tren,train,tren / train,348,curated_object,
d2000_0349,objects,bicicletă,bicycle,bicicletă / bicycle,349,curated_object,
d2000_0350,objects,bilet,ticket,bilet / ticket,350,curated_object,
d2000_0351,objects,hartă,map,hartă / map,351,curated_object,
d2000_0352,objects,drum,road,drum / road,352,curated_object,
d2000_0353,objects,stradă,street,stradă / street,353,curated_object,
d2000_0354,objects,pod,bridge,pod / bridge,354,curated_object,
d2000_0355,objects,bani,money,bani / money,355,curated_object,
d2000_0356,objects,card,card,card / card,356,curated_object,
d2000_0357,objects,factură,bill,factură / bill,357,curated_object,
d2000_0358,objects,preț,price,preț / price,358,curated_object,
d2000_0359,objects,magazin,shop,magazin / shop,359,curated_object,
d2000_0360,objects,medicament,medicine,medicament / medicine,360,curated_object,
d2000_0361,objects,doctor,doctor,doctor / doctor,361,curated_object,
d2000_0362,objects,spital,hospital,spital / hospital,362,curated_object,
d2000_0363,objects,problemă,problem,problemă / problem,363,curated_object,
d2000_0364,objects,soluție,solution,soluție / solution,364,curated_object,
d2000_0365,objects,plan,plan,plan / plan,365,curated_object,
d2000_0366,objects,mesaj,message,mesaj / message,366,curated_object,
d2000_0367,objects,imagine,image,imagine / image,367,curated_object,
d2000_0368,objects,sunet,sound,sunet / sound,368,curated_object,
d2000_0369,objects,video,video,video / video,369,curated_object,
d2000_0370,objects,parolă,password,parolă / password,370,curated_object,
d2000_0371,objects,cont,account,cont / account,371,curated_object,
d2000_0372,objects,nume,name,nume / name,372,curated_object,
d2000_0373,objects,număr,number,număr / number,373,curated_object,
d2000_0374,objects,adresă,address,adresă / address,374,curated_object,
d2000_0375,objects,exemplu,example,exemplu / example,375,curated_object,
d2000_0376,objects,date,data,date / data,376,curated_object,
d2000_0377,objects,token,token,token / token,377,curated_object,
d2000_0378,objects,dicționar,dictionary,dicționar / dictionary,378,curated_object,
d2000_0379,objects,test,test,test / test,379,curated_object,
d2000_0380,people,om,person,om / person,380,curated_people,
d2000_0381,people,femeie,woman,femeie / woman,381,curated_people,
d2000_0382,people,bărbat,man,bărbat / man,382,curated_people,
d2000_0383,people,copil,child,copil / child,383,curated_people,
d2000_0384,people,prieten,friend,prieten / friend,384,curated_people,
d2000_0385,people,familie,family,familie / family,385,curated_people,
d2000_0386,people,mamă,mother,mamă / mother,386,curated_people,
d2000_0387,people,tată,father,tată / father,387,curated_people,
d2000_0388,people,soră,sister,soră / sister,388,curated_people,
d2000_0389,people,frate,brother,frate / brother,389,curated_people,
d2000_0390,people,profesor,teacher,profesor / teacher,390,curated_people,
d2000_0391,people,student,student,student / student,391,curated_people,
d2000_0392,people,client,client,client / client,392,curated_people,
d2000_0393,people,utilizator,user,utilizator / user,393,curated_people,
d2000_0394,people,operator,operator,operator / operator,394,curated_people,
d2000_0395,people,administrator,administrator,administrator / administrator,395,curated_people,
d2000_0396,people,dezvoltator,developer,dezvoltator / developer,396,curated_people,
d2000_0397,people,cercetător,researcher,cercetător / researcher,397,curated_people,
d2000_0398,people,autor,author,autor / author,398,curated_people,
d2000_0399,people,cititor,reader,cititor / reader,399,curated_people,
d2000_0400,people,vorbitor,speaker,vorbitor / speaker,400,curated_people,
d2000_0401,people,ascultător,listener,ascultător / listener,401,curated_people,
d2000_0402,people,expeditor,sender,expeditor / sender,402,curated_people,
d2000_0403,people,destinatar,receiver,destinatar / receiver,403,curated_people,
