id,category,ro,en,meaning,compact_token,frequency_rank,source_rank,token_length,source,notes
act_010,actions,scurtează,shorten,scurtează / shorten,1B,143,143,2,seed_vocabulary,
act_011,actions,păstrează,preserve,păstrează / preserve,1C,144,144,2,seed_vocabulary,
act_012,actions,schimbă,change,schimbă / change,1D,145,145,2,seed_vocabulary,
act_013,actions,mută,move,mută / move,1F,146,146,2,seed_vocabulary,
act_014,actions,copiază,copy,copiază / copy,1G,147,147,2,seed_vocabulary,
act_015,actions,lipește,paste,lipește / paste,1H,148,148,2,seed_vocabulary,
act_016,actions,caută,search,caută / search,1J,149,149,2,seed_vocabulary,
act_017,actions,găsește,find,găsește / find,1K,150,150,2,seed_vocabulary,
act_018,actions,deschide,open,deschide / open,1L,151,151,2,seed_vocabulary,
act_019,actions,închide,close,închide / close,1M,152,152,2,seed_vocabulary,
act_020,actions,actualizează,update,actualizează / update,1N,153,153,2,seed_vocabulary,
act_021,actions,îmbină,merge,îmbină / merge,1P,154,154,2,seed_vocabulary,
act_022,actions,împarte,split,împarte / split,1Q,155,155,2,seed_vocabulary,
act_023,actions,sortează,sort,sortează / sort,1R,156,156,2,seed_vocabulary,
act_024,actions,filtrează,filter,filtrează / filter,1S,157,157,2,seed_vocabulary,
act_025,actions,măsoară,measure,măsoară / measure,1T,158,158,2,seed_vocabulary,
sw_001,software/project terms,agent,agent,agent / agent,G,159,159,1,seed_vocabulary,
sw_002,software/project terms,protocol,protocol,protocol / protocol,p,160,160,1,seed_vocabulary,
sw_003,software/project terms,stare,state,stare / state,1V,161,161,2,seed_vocabulary,
sw_004,software/project terms,rundă,round,rundă / round,1W,162,162,2,seed_vocabulary,
sw_005,software/project terms,experiment,experiment,experiment / experiment,1X,163,163,2,seed_vocabulary,
sw_006,software/project terms,vocabular,vocabulary,vocabular / vocabulary,1Y,164,164,2,seed_vocabulary,
sw_007,software/project terms,sarcină,task,sarcină / task,1Z,165,165,2,seed_vocabulary,
sw_008,software/project terms,prompt,prompt,prompt / prompt,1b,166,166,2,seed_vocabulary,
sw_009,software/project terms,răspuns,response,răspuns / response,1c,167,167,2,seed_vocabulary,
sw_010,software/project terms,transcriere,transcript,transcriere / transcript,1d,168,168,2,seed_vocabulary,
sw_011,software/project terms,jurnal,log,jurnal / log,1f,169,169,2,seed_vocabulary,
sw_012,software/project terms,rezultat,result,rezultat / result,1g,170,170,2,seed_vocabulary,
sw_013,software/project terms,metrică,metric,metrică / metric,1h,171,171,2,seed_vocabulary,
sw_014,software/project terms,compresie,compression,compresie / compression,1j,172,172,2,seed_vocabulary,
sw_015,software/project terms,raport final,final report,raport final / final report,1k,173,173,2,seed_vocabulary,
sw_016,software/project terms,eroare,error,eroare / error,1l,174,174,2,seed_vocabulary,
sw_017,software/project terms,eșec,failure,eșec / failure,1m,175,175,2,seed_vocabulary,
sw_018,software/project terms,simbol inventat,invented symbol,simbol inventat / invented symbol,1n,176,176,2,seed_vocabulary,
sw_019,software/project terms,simbol reutilizat,reused symbol,simbol reutilizat / reused symbol,1p,177,177,2,seed_vocabulary,
sw_020,software/project terms,derivă,drift,derivă / drift,1q,178,178,2,seed_vocabulary,
sw_021,software/project terms,noutate,novelty,noutate / novelty,1r,179,179,2,seed_vocabulary,
sw_022,software/project terms,gramatică,grammar,gramatică / grammar,1s,180,180,2,seed_vocabulary,
sw_023,software/project terms,identificator,identifier,identificator / identifier,1t,181,181,2,seed_vocabulary,
sw_024,software/project terms,cod scurt,short code,cod scurt / short code,1v,182,182,2,seed_vocabulary,
sw_025,software/project terms,semnificație,meaning,semnificație / meaning,1w,183,183,2,seed_vocabulary,
sw_026,software/project terms,decodor,decoder,decodor / decoder,1x,184,184,2,seed_vocabulary,
sw_027,software/project terms,encoder,encoder,encoder / encoder,1y,185,185,2,seed_vocabulary,
sw_028,software/project terms,arhitectură,architecture,arhitectură / architecture,1z,186,186,2,seed_vocabulary,
sw_029,software/project terms,prototip,prototype,prototip / prototype,1!,187,187,2,seed_vocabulary,
sw_030,software/project terms,configurație,configuration,configurație / configuration,1#,188,188,2,seed_vocabulary,
sw_031,software/project terms,temperatură,temperature,temperatură / temperature,1$,189,189,2,seed_vocabulary,
sw_032,software/project terms,model local,local model,model local / local model,1%,190,190,2,seed_vocabulary,
d2000_0191,connectors,și,and,și / and,&,191,191,1,curated_connector,
d2000_0192,connectors,sau,or,sau / or,/,192,192,1,curated_connector,
d2000_0193,connectors,dar,but,dar / but,1&,193,193,2,curated_connector,
d2000_0194,connectors,însă,however,însă / however,1*,194,194,2,curated_connector,
d2000_0195,connectors,deci,therefore,deci / therefore,1+,195,195,2,curated_connector,
d2000_0196,connectors,pentru că,because,pentru că / because,1.,196,196,2,curated_connector,
d2000_0197,connectors,fiindcă,since,fiindcă / since,1/,197,197,2,curated_connector,
d2000_0198,connectors,dacă,if,dacă / if,1:,198,198,2,curated_connector,
d2000_0199,connectors,atunci,then,atunci / then,1;,199,199,2,curated_connector,
d2000_0200,connectors,altfel,otherwise,altfel / otherwise,1=,200,200,2,curated_connector,
d2000_0201,connectors,în timp ce,while,în timp ce / while,1?,201,201,2,curated_connector,
d2000_0202,connectors,după ce,after,după ce / after,1@,202,202,2,curated_connector,
d2000_0203,connectors,înainte să,before,înainte să / before,1^,203,203,2,curated_connector,
d2000_0204,connectors,cu,with,cu / with,1_,204,204,2,curated_connector,
d2000_0205,connectors,fără,without,fără / without,1~,205,205,2,curated_connector,
d2000_0206,connectors,prin,through,prin / through,20,206,206,2,curated_connector,
d2000_0207,connectors,între,between,între / between,21,207,207,2,curated_connector,
d2000_0208,connectors,peste,over,peste / over,22,208,208,2,curated_connector,
d2000_0209,connectors,sub,under,sub / under,23,209,209,2,curated_connector,
d2000_0210,connectors,lângă,near,lângă / near,24,210,210,2,curated_connector,
d2000_0211,connectors,în,in,în / in,25,211,211,2,curated_connector,
d2000_0212,connectors,pe,on,pe / on,26,212,212,2,curated_connector,
d2000_0213,connectors,la,at,la / at,27,213,213,2,curated_connector,
d2000_0214,connectors,din,from,din / from,28,214,214,2,curated_connector,
d2000_0215,connectors,către,toward,către / toward,29,215,215,2,curated_connector,
d2000_0216,connectors,despre,about,despre / about,2B,216,216,2,curated_connector,
d2000_0217,connectors,pentru,for,pentru / for,2C,217,217,2,curated_connector,
d2000_0218,connectors,ca,as,ca / as,2D,218,218,2,curated_connector,
d2000_0219,connectors,precum,like,precum / like,2F,219,219,2,curated_connector,
d2000_0220,connectors,nici,nor,nici / nor,2G,220,220,2,curated_connector,
d2000_0221,connectors,totuși,still,totuși / still,2H,221,221,2,curated_connector,
d2000_0222,connectors,apoi,next,apoi / next,2J,222,222,2,curated_connector,
d2000_0223,connectors,întâi,first,întâi / first,2K,223,223,2,curated_connector,
d2000_0224,connectors,în final,finally,în final / finally,2L,224,224,2,curated_connector,
d2000_0225,connectors,de asemenea,also,de asemenea / also,2M,225,225,2,curated_connector,
d2000_0226,connectors,mai ales,especially,mai ales / especially,2N,226,226,2,curated_connector,
d2000_0227,connectors,în schimb,instead,în schimb / instead,2P,227,227,2,curated_connector,
d2000_0228,connectors,chiar dacă,even if,chiar dacă / even if,2Q,228,228,2,curated_connector,
d2000_0229,connectors,numai dacă,only if,numai dacă / only if,2R,229,229,2,curated_connector,
d2000_0230,negation,nu,no/not,nu / no/not,!,230,230,1,curated_negation,
d2000_0231,negation,niciodată,never,niciodată / never,2S,231,231,2,curated_negation,
d2000_0232,negation,nimic,nothing,nimic / nothing,2T,232,232,2,curated_negation,
d2000_0233,negation,niciunul,none,niciunul / none,2V,233,233,2,curated_negation,
d2000_0234,negation,fără rezultat,no result,fără rezultat / no result,2W,234,234,2,curated_negation,
d2000_0235,negation,nu pot,cannot,nu pot / cannot,2X,235,235,2,curated_negation,
d2000_0236,negation,nu vreau,do not want,nu vreau / do not want,2Y,236,236,2,curated_negation,
d2000_0237,negation,nu am nevoie,do not need,nu am nevoie / do not need,2Z,237,237,2,curated_negation,
d2000_0238,negation,nu este,is not,nu este / is not,2b,238,238,2,curated_negation,
d2000_0239,negation,nu există,does not exist,nu există / does not exist,2c,239,239,2,curated_negation,
d2000_0240,negation,nu găsesc,do not find,nu găsesc / do not find,2d,240,240,2,curated_negation,
d2000_0241,negation,nu funcționează,does not work,nu funcționează / does not work,2f,241,241,2,curated_negation,
d2000_0242,negation,nu înțeleg,do not understand,nu înțeleg / do not understand,2g,242,242,2,curated_negation,
d2000_0243,negation,nu știu,do not know,nu știu / do not know,2h,243,243,2,curated_negation,
d2000_0244,negation,nu încă,not yet,nu încă / not yet,2j,244,244,2,curated_negation,
d2000_0245,negation,nu acum,not now,nu acum / not now,2k,245,245,2,curated_negation,
d2000_0246,negation,nu aici,not here,nu aici / not here,2l,246,246,2,curated_negation,
d2000_0247,negation,nu acolo,not there,nu acolo / not there,2m,247,247,2,curated_negation,
d2000_0248,negation,greșit,wrong,greșit / wrong,2n,248,248,2,curated_negation,
d2000_0249,grammar_markers,subiect,subject,subiect / subject,2p,249,249,2,curated_grammar,
d2000_0250,grammar_markers,obiect,object,obiect / object,2q,250,250,2,curated_grammar,
d2000_0251,grammar_markers,verb,verb,verb / verb,2r,251,251,2,curated_grammar,
d2000_0252,grammar_markers,nume,noun,nume / noun,2s,252,252,2,curated_grammar,
d2000_0253,grammar_markers,adjectiv,adjective,adjectiv / adjective,2t,253,253,2,curated_grammar,
d2000_0254,grammar_markers,adverb,adverb,adverb / adverb,2v,254,254,2,curated_grammar,
d2000_0255,grammar_markers,plural,plural,plural / plural,2w,255,255,2,curated_grammar,
d2000_0256,grammar_markers,singular,singular,singular / singular,2x,256,256,2,curated_grammar,
d2000_0257,grammar_markers,trecut,past,trecut / past,2y,257,257,2,curated_grammar,
d2000_0258,grammar_markers,prezent,present,prezent / present,2z,258,258,2,curated_grammar,
d2000_0259,grammar_markers,viitor,future,viitor / future,2!,259,259,2,curated_grammar,
d2000_0260,grammar_markers,condițional,conditional,condițional / conditional,2#,260,260,2,curated_grammar,
d2000_0261,grammar_markers,imperativ,imperative,imperativ / imperative,2$,261,261,2,curated_grammar,
d2000_0262,grammar_markers,întrebare,question,întrebare / question,Q,262,262,1,curated_grammar,
d2000_0263,grammar_markers,răspuns,answer,răspuns / answer,],263,263,1,curated_grammar,
d2000_0264,grammar_markers,negație,negation,negație / negation,2%,264,264,2,curated_grammar,
d2000_0265,grammar_markers,afirmație,affirmation,afirmație / affirmation,2&,265,265,2,curated_grammar,
d2000_0266,grammar_markers,pacient,patient,pacient / patient,2*,266,266,2,curated_grammar,
d2000_0267,grammar_markers,loc,location,loc / location,2+,267,267,2,curated_grammar,
d2000_0268,grammar_markers,timp,time,timp / time,2.,268,268,2,curated_grammar,
d2000_0269,grammar_markers,cauză,cause,cauză / cause,2/,269,269,2,curated_grammar,
d2000_0270,grammar_markers,scop,purpose,scop / purpose,2:,270,270,2,curated_grammar,
d2000_0271,grammar_markers,mod,manner,mod / manner,2;,271,271,2,curated_grammar,
d2000_0272,grammar_markers,cantitate,quantity,cantitate / quantity,2=,272,272,2,curated_grammar,
d2000_0273,grammar_markers,calitate,quality,calitate / quality,2?,273,273,2,curated_grammar,
d2000_0274,grammar_markers,definit,definite,definit / definite,2@,274,274,2,curated_grammar,
d2000_0275,grammar_markers,nedefinit,indefinite,nedefinit / indefinite,2^,275,275,2,curated_grammar,
d2000_0276,grammar_markers,comparativ,comparative,comparativ / comparative,2_,276,276,2,curated_grammar,
d2000_0277,grammar_markers,superlativ,superlative,superlativ / superlative,2~,277,277,2,curated_grammar,
d2000_0278,grammar_markers,posesiv,possessive,posesiv / possessive,30,278,278,2,curated_grammar,
d2000_0279,grammar_markers,reflexiv,reflexive,reflexiv / reflexive,31,279,279,2,curated_grammar,
d2000_0280,grammar_markers,reciproc,reciprocal,reciproc / reciprocal,32,280,280,2,curated_grammar,
d2000_0281,grammar_markers,listă,list,listă / list,33,281,281,2,curated_grammar,
d2000_0282,grammar_markers,grup,group,grup / group,34,282,282,2,curated_grammar,
d2000_0283,grammar_markers,relație,relation,relație / relation,35,283,283,2,curated_grammar,
d2000_0284,grammar_markers,atribut,attribute,atribut / attribute,36,284,284,2,curated_grammar,
d2000_0285,grammar_markers,valoare,value,valoare / value,37,285,285,2,curated_grammar,
d2000_0286,grammar_markers,cheie,key,cheie / key,38,286,286,2,curated_grammar,
d2000_0287,grammar_markers,cod,code,cod / code,39,287,287,2,curated_grammar,
d2000_0288,requests,ajută-mă,help me,ajută-mă / help me,3B,288,288,2,curated_request,
d2000_0289,requests,poți să ajuți?,can you help?,poți să ajuți? / can you help?,3C,289,289,2,curated_request,
d2000_0290,requests,am nevoie de ajutor,I need help,am nevoie de ajutor / I need help,3D,290,290,2,curated_request,
d2000_0291,requests,arată-mi,show me,arată-mi / show me,3F,291,291,2,curated_request,
d2000_0292,requests,spune-mi,tell me,spune-mi / tell me,3G,292,292,2,curated_request,
d2000_0293,requests,explică-mi,explain to me,explică-mi / explain to me,3H,293,293,2,curated_request,
d2000_0294,requests,trimite-mi,send me,trimite-mi / send me,3J,294,294,2,curated_request,
d2000_0295,requests,dă-mi,give me,dă-mi / give me,3K,295,295,2,curated_request,
d2000_0296,requests,caută pentru mine,search for me,caută pentru mine / search for me,3L,296,296,2,curated_request,
d2000_0297,requests,verifică pentru mine,check for me,verifică pentru mine / check for me,3M,297,297,2,curated_request,
d2000_0298,requests,fă asta,do this,fă asta / do this,3N,298,298,2,curated_request,
d2000_0299,requests,continuă,continue,continuă / continue,3P,299,299,2,curated_request,
d2000_0300,requests,începe,start,începe / start,3Q,300,300,2,curated_request,
d2000_0301,requests,repetă,repeat,repetă / repeat,3R,301,301,2,curated_request,
d2000_0302,requests,scrie asta,write this,scrie asta / write this,3S,302,302,2,curated_request,
d2000_0303,requests,citește asta,read this,citește asta / read this,3T,303,303,2,curated_request,
d2000_0304,requests,salvează asta,save this,salvează asta / save this,3V,304,304,2,curated_request,
d2000_0305,requests,deschide asta,open this,deschide asta / open this,3W,305,305,2,curated_request,
d2000_0306,basic_conversation,ce faci?,how are you?,ce faci? / how are you?,3X,306,306,2,curated_conversation,
d2000_0307,basic_conversation,cu plăcere,you are welcome,cu plăcere / you are welcome,3Y,307,307,2,curated_conversation,
d2000_0308,basic_conversation,nu-i nimic,it is okay,nu-i nimic / it is okay,3Z,308,308,2,curated_conversation,
d2000_0309,basic_conversation,da,yes,da / yes,3b,309,309,2,curated_conversation,
d2000_0310,basic_conversation,nu,no,nu / no,3c,310,310,2,curated_conversation,
d2000_0311,basic_conversation,poate,maybe,poate / maybe,3d,311,311,2,curated_conversation,
d2000_0312,basic_conversation,sigur,sure,sigur / sure,3f,312,312,2,curated_conversation,
d2000_0313,basic_conversation,bine,okay,bine / okay,3g,313,313,2,curated_conversation,
d2000_0314,basic_conversation,gata,done,gata / done,3h,314,314,2,curated_conversation,
d2000_0315,basic_conversation,înțeleg,I understand,înțeleg / I understand,3j,315,315,2,curated_conversation,
d2000_0316,basic_conversation,nu înțeleg,I do not understand,nu înțeleg / I do not understand,3k,316,316,2,curated_conversation,
d2000_0317,basic_conversation,mai spune,say more,mai spune / say more,3l,317,317,2,curated_conversation,
d2000_0318,basic_conversation,mai scurt,shorter,mai scurt / shorter,3m,318,318,2,curated_conversation,
d2000_0319,basic_conversation,mai clar,clearer,mai clar / clearer,3n,319,319,2,curated_conversation,
d2000_0320,basic_conversation,foarte bine,very good,foarte bine / very good,3p,320,320,2,curated_conversation,
d2000_0321,objects,lapte,milk,lapte / milk,3q,321,321,2,curated_object,
d2000_0322,objects,ou,egg,ou / egg,3r,322,322,2,curated_object,
d2000_0323,objects,carne,meat,carne / meat,3s,323,323,2,curated_object,
d2000_0324,objects,fruct,fruit,fruct / fruit,3t,324,324,2,curated_object,
d2000_0325,objects,legumă,vegetable,legumă / vegetable,3v,325,325,2,curated_object,
d2000_0326,objects,măr,apple,măr / apple,3w,326,326,2,curated_object,
d2000_0327,objects,banană,banana,banană / banana,3x,327,327,2,curated_object,
d2000_0328,objects,orez,rice,orez / rice,3y,328,328,2,curated_object,
d2000_0329,objects,supă,soup,supă / soup,3z,329,329,2,curated_object,
d2000_0330,objects,sare,salt,sare / salt,3!,330,330,2,curated_object,
